Textbox147,Textbox148,Textbox152,Table5Title_tbx3,Table5Title_tbx4,Textbox154,Textbox146,Textbox159,Table5Title_tbx2,Table5Title_tbx6
"Avocados: U.S. imports by value ($1,000)","Avocados: U.S. imports by volume (1,000 pounds)",Avocados: U.S. imports unit value ($ per pound),Avocados: U.S. import sources by value,Avocados: U.S. import sources by volume,"Avocados: U.S. exports by value ($1,000) ","Avocados: U.S. exports by volume (1,000 pounds)",Avocados: U.S. exports by unit value ($ per pound),Avocados: U.S. export destinations by value,Avocados: U.S. export destinations by volume

Textbox119,Textbox131,Textbox21,qq3,Textbox23,Textbox124,gen val mo_label,gen val mo_Chart4_CategoryGroup_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_Value_Y,stat_year3,gen_qty_mo8,gen_qty_mo9,gen_qty_yr3
,,,,,,gen val mo,2009,,69879.59,,,,
,,,,,,gen val mo,2009,,52776.121,,,,
,,,,,,gen val mo,2009,,66444.425,,,,
,,,,,,gen val mo,2009,,69951.902,,,,
,,,,,,gen val mo,2009,,54434.189,,,,
,,,,,,gen val mo,2009,,60462.438,,,,
,,,,,,gen val mo,2009,,48125.52,,,,
,,,,,,gen val mo,2009,,65197.564,,,,
,,,,,,gen val mo,2009,,61818.278,,,,
,,,,,,gen val mo,2009,,61124.164,,,,
,,,,,,gen val mo,2009,,49005.111,,,,
,,,,,,gen val mo,2009,,51957.301,,,,
,,,,,,gen val mo,2010,,66200.363,,,,
,,,,,,gen val mo,2010,,48117.603,,,,
,,,,,,gen val mo,2010,,65694.612,,,,
,,,,,,gen val mo,2010,,51757.904,,,,
,,,,,,gen val mo,2010,,41807.328,,,,
,,,,,,gen val mo,2010,,35312.918,,,,
,,,,,,gen val mo,2010,,29989.265,,,,
,,,,,,gen val mo,2010,,24074.616,,,,
,,,,,,gen val mo,2010,,35772.527,,,,
,,,,,,gen val mo,2010,,46615.898,,,,
,,,,,,gen val mo,2010,,56785.573,,,,
,,,,,,gen val mo,2010,,72569.695,,,,
,,,,,,gen val mo,2011,,101587.439,,,,
,,,,,,gen val mo,2011,,75227.425,,,,
,,,,,,gen val mo,2011,,97560.28,,,,
,,,,,,gen val mo,2011,,86212.772,,,,
,,,,,,gen val mo,2011,,66860.056,,,,
,,,,,,gen val mo,2011,,61977.966,,,,
,,,,,,gen val mo,2011,,36878.645,,,,
,,,,,,gen val mo,2011,,69721.623,,,,
,,,,,,gen val mo,2011,,92924.106,,,,
,,,,,,gen val mo,2011,,77476.255,,,,
,,,,,,gen val mo,2011,,70679.746,,,,
,,,,,,gen val mo,2011,,75892.531,,,,
,,,,,,gen val mo,2012,,102787.14,,,,
,,,,,,gen val mo,2012,,72416.607,,,,
,,,,,,gen val mo,2012,,86286.306,,,,
,,,,,,gen val mo,2012,,82345.386,,,,
,,,,,,gen val mo,2012,,63444.238,,,,
,,,,,,gen val mo,2012,,59835.518,,,,
,,,,,,gen val mo,2012,,46182.576,,,,
,,,,,,gen val mo,2012,,58385.197,,,,
,,,,,,gen val mo,2012,,51151.737,,,,
,,,,,,gen val mo,2012,,82295.121,,,,
,,,,,,gen val mo,2012,,76363.24,,,,
,,,,,,gen val mo,2012,,78648.679,,,,
,,,,,,gen val mo,2013,,105583.502,,,,
,,,,,,gen val mo,2013,,68667.627,,,,
,,,,,,gen val mo,2013,,104973.755,,,,
,,,,,,gen val mo,2013,,93600.731,,,,
,,,,,,gen val mo,2013,,91417.449,,,,
,,,,,,gen val mo,2013,,77503.904,,,,
,,,,,,gen val mo,2013,,66251.658,,,,
,,,,,,gen val mo,2013,,72170.912,,,,
,,,,,,gen val mo,2013,,85961.522,,,,
,,,,,,gen val mo,2013,,120381.916,,,,
,,,,,,gen val mo,2013,,102555.63,,,,
,,,,,,gen val mo,2013,,100272.323,,,,
,,,,,,gen val mo,2014,,149422.15,,,,
,,,,,,gen val mo,2014,,111137.673,,,,
,,,,,,gen val mo,2014,,137832.559,,,,
,,,,,,gen val mo,2014,,123644.684,,,,
,,,,,,gen val mo,2014,,114155.001,,,,
,,,,,,gen val mo,2014,,135755.795,,,,
,,,,,,gen val mo,2014,,125405.832,,,,
,,,,,,gen val mo,2014,,110745.49,,,,
,,,,,,gen val mo,2014,,149556.772,,,,
,,,,,,gen val mo,2014,,135718.099,,,,
,,,,,,gen val mo,2014,,114326.584,,,,
,,,,,,gen val mo,2014,,118674.234,,,,
,,,,,,gen val mo,2015,,173913.01,,,,
,,,,,,gen val mo,2015,,124448.593,,,,
,,,,,,gen val mo,2015,,143180.127,,,,
,,,,,,gen val mo,2015,,127594.683,,,,
,,,,,,gen val mo,2015,,131782.199,,,,
,,,,,,gen val mo,2015,,129814.149,,,,
,,,,,,gen val mo,2015,,160924.832,,,,
,,,,,,gen val mo,2015,,129983.507,,,,
,,,,,,gen val mo,2015,,135745.918,,,,
,,,,,,gen val mo,2015,,129007.78,,,,
,,,,,,gen val mo,2015,,130706.419,,,,
,,,,,,gen val mo,2015,,114402.335,,,,
,,,,,,gen val mo,2016,,161250.792,,,,
,,,,,,gen val mo,2016,,113828.595,,,,
,,,,,,gen val mo,2016,,121065.564,,,,
,,,,,,gen val mo,2016,,120049.356,,,,
,,,,,,gen val mo,2016,,144378.837,,,,
,,,,,,gen val mo,2016,,104369.136,,,,
,,,,,,gen val mo,2016,,171467.47,,,,
,,,,,,gen val mo,2016,,164853.185,,,,
,,,,,,gen val mo,2016,,242517.096,,,,
,,,,,,gen val mo,2016,,239007.399,,,,
,,,,,,gen val mo,2016,,158690.14,,,,
,,,,,,gen val mo,2016,,175439.187,,,,
,,,,,,gen val mo,2017,,207387.693,,,,
,,,,,,gen val mo,2017,,182421.005,,,,
,,,,,,gen val mo,2017,,224948.272,,,,
,,,,,,gen val mo,2017,,224357.355,,,,
,,,,,,gen val mo,2017,,210834.36,,,,
,,,,,,gen val mo,2017,,221097.614,,,,
,,,,,,gen val mo,2017,,181053.908,,,,
,,,,,,gen val mo,2017,,257136.909,,,,
,,,,,,gen val mo,2017,,322733.394,,,,
,,,,,,gen val mo,2017,,220882.989,,,,
,,,,,,gen val mo,2017,,170644.412,,,,
,,,,,,gen val mo,2017,,216060.704,,,,
,,,,,,gen val mo,2018,,210504.023,,,,
,,,,,,gen val mo,2018,,182140.444,,,,
,,,,,,gen val mo,2018,,206932.608,,,,
,,,,,,gen val mo,2018,,223211.393,,,,
,,,,,,gen val mo,2018,,179487.846,,,,
,,,,,,gen val mo,2018,,180285.893,,,,
,,,,,,gen val mo,2018,,188226.082,,,,
,,,,,,gen val mo,2018,,262554.309,,,,
,,,,,,gen val mo,2018,,190554.806,,,,
,,,,,,gen val mo,2018,,182956.783,,,,
,,,,,,gen val mo,2018,,178484.625,,,,
,,,,,,gen val mo,2018,,163050.811,,,,
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2018,"210,504","599,577","2,348,390"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2018,"182,140","599,577","2,348,390"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2018,"206,933","599,577","2,348,390"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2018,"223,211","582,985","2,348,390"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2018,"179,488","582,985","2,348,390"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2018,"180,286","582,985","2,348,390"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2018,"188,226","641,335","2,348,390"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2018,"262,554","641,335","2,348,390"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2018,"190,555","641,335","2,348,390"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2018,"182,957","524,492","2,348,390"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2018,"178,485","524,492","2,348,390"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2018,"163,051","524,492","2,348,390"
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2017,"207,388","614,757","2,639,559"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2017,"182,421","614,757","2,639,559"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2017,"224,948","614,757","2,639,559"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2017,"224,357","656,289","2,639,559"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2017,"210,834","656,289","2,639,559"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2017,"221,098","656,289","2,639,559"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2017,"181,054","760,924","2,639,559"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2017,"257,137","760,924","2,639,559"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2017,"322,733","760,924","2,639,559"
