,Market year*,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg
4,2018,1.53,1.41,1.43,1.44,1.44,1.43,1.36,1.42,1.43,1.71,1.96,1.59,2.01,1.85,1.88,1.92,1.45
5,2017,1.67,1.53,1.73,1.66,1.64,1.66,1.73,1.67,1.73,2.02,2.68,1.88,2.36,1.91,1.67,1.94,1.72
6,2016,1.39,1.49,1.17,1.27,1.06,1.05,1.19,1.10,1.53,1.56,1.72,1.57,2.11,1.80,1.65,1.81,1.21
7,2015,1.24,1.59,1.67,1.58,1.60,1.40,1.54,1.50,1.58,1.57,1.21,1.53,1.24,0.98,1.16,1.13,1.50
8,2014,1.35,1.64,1.55,1.55,1.51,1.46,1.60,1.52,1.71,1.69,1.37,1.66,1.10,1.13,1.11,1.11,1.54
9,2013,1.12,1.13,1.05,1.07,1.06,1.10,1.05,1.07,1.33,1.40,1.58,1.41,1.62,1.21,1.28,1.45,1.18
10,2012,0.99,1.25,1.42,1.30,1.37,1.35,1.34,1.35,1.25,1.29,1.22,1.26,1.07,0.96,0.91,1.00,1.29
11,2011,1.17,1.29,1.63,1.39,1.95,1.73,1.65,1.70,1.52,1.90,1.49,1.64,0.92,0.82,1.03,0.92,1.55
12,2010,1.01,0.98,0.80,0.87,0.79,0.94,0.85,0.87,0.77,0.70,0.70,0.73,0.70,0.68,0.77,0.70,0.77
13,2009,1.03,0.91,0.96,0.97,0.78,0.80,0.93,0.83,0.74,0.93,0.76,0.79,0.79,0.80,0.86,0.81,0.83
