,Market year*,metrics,values
0,2018,Jan_exp_value,"2,447"
1,2017,Jan_exp_value,"1,661"
2,2016,Jan_exp_value,788
3,2015,Jan_exp_value,610
4,2014,Jan_exp_value,491
5,2013,Jan_exp_value,650
6,2012,Jan_exp_value,673
7,2011,Jan_exp_value,411
8,2010,Jan_exp_value,286
9,2009,Jan_exp_value,
10,2018,Feb_exp_value,"4,940"
11,2017,Feb_exp_value,"2,075"
12,2016,Feb_exp_value,"1,277"
13,2015,Feb_exp_value,"1,573"
14,2014,Feb_exp_value,"1,618"
15,2013,Feb_exp_value,915
16,2012,Feb_exp_value,"1,685"
17,2011,Feb_exp_value,401
18,2010,Feb_exp_value,318
19,2009,Feb_exp_value,
20,2018,Mar_exp_value,"8,037"
21,2017,Mar_exp_value,"4,549"
22,2016,Mar_exp_value,"3,215"
23,2015,Mar_exp_value,"2,881"
24,2014,Mar_exp_value,"2,788"
25,2013,Mar_exp_value,"3,875"
26,2012,Mar_exp_value,"3,320"
27,2011,Mar_exp_value,768
28,2010,Mar_exp_value,820
29,2009,Mar_exp_value,
30,2018,Q1_exp_value,"15,423"
31,2017,Q1_exp_value,"8,285"
32,2016,Q1_exp_value,"5,280"
33,2015,Q1_exp_value,"5,063"
34,2014,Q1_exp_value,"4,897"
35,2013,Q1_exp_value,"5,440"
36,2012,Q1_exp_value,"5,678"
37,2011,Q1_exp_value,"1,581"
38,2010,Q1_exp_value,"1,424"
39,2009,Q1_exp_value,
40,2018,Apr_exp_value,"10,108"
41,2017,Apr_exp_value,"4,720"
42,2016,Apr_exp_value,"6,366"
43,2015,Apr_exp_value,"4,056"
44,2014,Apr_exp_value,"6,063"
45,2013,Apr_exp_value,"7,657"
46,2012,Apr_exp_value,"5,183"
47,2011,Apr_exp_value,910
48,2010,Apr_exp_value,"1,913"
49,2009,Apr_exp_value,
50,2018,May_exp_value,"13,355"
51,2017,May_exp_value,"5,129"
52,2016,May_exp_value,"7,966"
53,2015,May_exp_value,"5,921"
54,2014,May_exp_value,"8,509"
55,2013,May_exp_value,"12,021"
56,2012,May_exp_value,"6,255"
57,2011,May_exp_value,"2,629"
58,2010,May_exp_value,"3,223"
59,2009,May_exp_value,
60,2018,Jun_exp_value,"7,699"
61,2017,Jun_exp_value,"3,608"
62,2016,Jun_exp_value,"6,359"
63,2015,Jun_exp_value,"4,867"
64,2014,Jun_exp_value,"7,662"
65,2013,Jun_exp_value,"10,746"
66,2012,Jun_exp_value,"6,272"
67,2011,Jun_exp_value,"5,503"
68,2010,Jun_exp_value,"5,039"
69,2009,Jun_exp_value,
70,2018,Q2_exp_value,"31,162"
71,2017,Q2_exp_value,"13,457"
72,2016,Q2_exp_value,"20,691"
73,2015,Q2_exp_value,"14,844"
74,2014,Q2_exp_value,"22,233"
75,2013,Q2_exp_value,"30,424"
76,2012,Q2_exp_value,"17,709"
77,2011,Q2_exp_value,"9,042"
78,2010,Q2_exp_value,"10,175"
79,2009,Q2_exp_value,
80,2018,Jul_exp_value,"2,780"
81,2017,Jul_exp_value,"2,972"
82,2016,Jul_exp_value,"3,638"
83,2015,Jul_exp_value,"3,717"
84,2014,Jul_exp_value,"5,286"
85,2013,Jul_exp_value,"7,770"
86,2012,Jul_exp_value,"6,633"
87,2011,Jul_exp_value,"6,613"
88,2010,Jul_exp_value,"6,094"
89,2009,Jul_exp_value,
90,2018,Aug_exp_value,"2,505"
91,2017,Aug_exp_value,"1,851"
92,2016,Aug_exp_value,"1,629"
93,2015,Aug_exp_value,"1,945"
94,2014,Aug_exp_value,"3,856"
95,2013,Aug_exp_value,"6,705"
96,2012,Aug_exp_value,"4,614"
97,2011,Aug_exp_value,"4,577"
98,2010,Aug_exp_value,"4,872"
99,2009,Aug_exp_value,
100,2018,Sep_exp_value,759
101,2017,Sep_exp_value,385
102,2016,Sep_exp_value,935
103,2015,Sep_exp_value,687
104,2014,Sep_exp_value,"1,204"
105,2013,Sep_exp_value,"4,888"
106,2012,Sep_exp_value,"2,753"
107,2011,Sep_exp_value,"1,301"
108,2010,Sep_exp_value,"3,668"
109,2009,Sep_exp_value,
110,2018,Q3_exp_value,"6,044"
111,2017,Q3_exp_value,"5,208"
112,2016,Q3_exp_value,"6,202"
113,2015,Q3_exp_value,"6,349"
114,2014,Q3_exp_value,"10,347"
115,2013,Q3_exp_value,"19,363"
116,2012,Q3_exp_value,"14,001"
117,2011,Q3_exp_value,"12,491"
118,2010,Q3_exp_value,"14,634"
119,2009,Q3_exp_value,
120,2018,Oct_exp_value,601
121,2017,Oct_exp_value,547
122,2016,Oct_exp_value,482
123,2015,Oct_exp_value,493
124,2014,Oct_exp_value,559
125,2013,Oct_exp_value,"1,907"
126,2012,Oct_exp_value,874
127,2011,Oct_exp_value,748
128,2010,Oct_exp_value,"2,945"
129,2009,Oct_exp_value,
130,2018,Nov_exp_value,437
131,2017,Nov_exp_value,698
132,2016,Nov_exp_value,598
133,2015,Nov_exp_value,348
134,2014,Nov_exp_value,410
135,2013,Nov_exp_value,567
136,2012,Nov_exp_value,529
137,2011,Nov_exp_value,567
138,2010,Nov_exp_value,"1,506"
139,2009,Nov_exp_value,
140,2018,Dec_exp_value,579
141,2017,Dec_exp_value,530
142,2016,Dec_exp_value,736
143,2015,Dec_exp_value,437
144,2014,Dec_exp_value,453
145,2013,Dec_exp_value,567
146,2012,Dec_exp_value,403
147,2011,Dec_exp_value,616
148,2010,Dec_exp_value,658
149,2009,Dec_exp_value,
150,2018,Q4_exp_value,"1,618"
151,2017,Q4_exp_value,"1,775"
152,2016,Q4_exp_value,"1,816"
153,2015,Q4_exp_value,"1,278"
154,2014,Q4_exp_value,"1,423"
155,2013,Q4_exp_value,"3,042"
156,2012,Q4_exp_value,"1,806"
157,2011,Q4_exp_value,"1,930"
158,2010,Q4_exp_value,"5,109"
159,2009,Q4_exp_value,
160,2018,Total_exp_value,"54,247"
161,2017,Total_exp_value,"28,725"
162,2016,Total_exp_value,"33,988"
163,2015,Total_exp_value,"27,534"
164,2014,Total_exp_value,"38,899"
165,2013,Total_exp_value,"58,269"
166,2012,Total_exp_value,"39,193"
167,2011,Total_exp_value,"25,044"
168,2010,Total_exp_value,"31,341"
169,2009,Total_exp_value,
170,2018,Jan_exp_volume,"1,594"
171,2017,Jan_exp_volume,994
172,2016,Jan_exp_volume,565
173,2015,Jan_exp_volume,492
174,2014,Jan_exp_volume,365
175,2013,Jan_exp_volume,580
176,2012,Jan_exp_volume,682
177,2011,Jan_exp_volume,352
178,2010,Jan_exp_volume,282
179,2009,Jan_exp_volume,260
180,2018,Feb_exp_volume,"3,500"
181,2017,Feb_exp_volume,"1,359"
182,2016,Feb_exp_volume,858
183,2015,Feb_exp_volume,991
184,2014,Feb_exp_volume,988
185,2013,Feb_exp_volume,812
186,2012,Feb_exp_volume,"1,351"
187,2011,Feb_exp_volume,312
188,2010,Feb_exp_volume,325
189,2009,Feb_exp_volume,247
190,2018,Mar_exp_volume,"5,631"
191,2017,Mar_exp_volume,"2,624"
192,2016,Mar_exp_volume,"2,742"
193,2015,Mar_exp_volume,"1,723"
194,2014,Mar_exp_volume,"1,797"
195,2013,Mar_exp_volume,"3,676"
196,2012,Mar_exp_volume,"2,339"
197,2011,Mar_exp_volume,471
198,2010,Mar_exp_volume,"1,021"
199,2009,Mar_exp_volume,315
200,2018,Q1_exp_volume,"10,725"
201,2017,Q1_exp_volume,"4,977"
202,2016,Q1_exp_volume,"4,164"
203,2015,Q1_exp_volume,"3,206"
204,2014,Q1_exp_volume,"3,150"
205,2013,Q1_exp_volume,"5,068"
206,2012,Q1_exp_volume,"4,372"
207,2011,Q1_exp_volume,"1,134"
208,2010,Q1_exp_volume,"1,628"
209,2009,Q1_exp_volume,821
210,2018,Apr_exp_volume,"6,997"
211,2017,Apr_exp_volume,"2,885"
212,2016,Apr_exp_volume,"5,982"
213,2015,Apr_exp_volume,"2,532"
214,2014,Apr_exp_volume,"4,010"
215,2013,Apr_exp_volume,"7,236"
216,2012,Apr_exp_volume,"3,779"
217,2011,Apr_exp_volume,466
218,2010,Apr_exp_volume,"2,411"
219,2009,Apr_exp_volume,500
220,2018,May_exp_volume,"9,330"
221,2017,May_exp_volume,"3,086"
222,2016,May_exp_volume,"7,560"
223,2015,May_exp_volume,"4,229"
224,2014,May_exp_volume,"5,810"
225,2013,May_exp_volume,"10,969"
226,2012,May_exp_volume,"4,620"
227,2011,May_exp_volume,"1,520"
228,2010,May_exp_volume,"3,411"
229,2009,May_exp_volume,747
230,2018,Jun_exp_volume,"5,660"
231,2017,Jun_exp_volume,"2,085"
232,2016,Jun_exp_volume,"5,350"
233,2015,Jun_exp_volume,"3,164"
234,2014,Jun_exp_volume,"4,798"
235,2013,Jun_exp_volume,"10,254"
236,2012,Jun_exp_volume,"4,677"
237,2011,Jun_exp_volume,"3,334"
238,2010,Jun_exp_volume,"5,920"
239,2009,Jun_exp_volume,514
240,2018,Q2_exp_volume,"21,988"
241,2017,Q2_exp_volume,"8,057"
242,2016,Q2_exp_volume,"18,892"
243,2015,Q2_exp_volume,"9,925"
244,2014,Q2_exp_volume,"14,617"
245,2013,Q2_exp_volume,"28,459"
246,2012,Q2_exp_volume,"13,076"
247,2011,Q2_exp_volume,"5,320"
248,2010,Q2_exp_volume,"11,742"
249,2009,Q2_exp_volume,"1,761"
250,2018,Jul_exp_volume,"1,944"
251,2017,Jul_exp_volume,"1,717"
252,2016,Jul_exp_volume,"2,371"
253,2015,Jul_exp_volume,"2,345"
254,2014,Jul_exp_volume,"3,083"
255,2013,Jul_exp_volume,"5,843"
256,2012,Jul_exp_volume,"5,294"
257,2011,Jul_exp_volume,"4,347"
258,2010,Jul_exp_volume,"7,911"
259,2009,Jul_exp_volume,760
260,2018,Aug_exp_volume,"1,468"
261,2017,Aug_exp_volume,916
262,2016,Aug_exp_volume,"1,047"
263,2015,Aug_exp_volume,"1,235"
264,2014,Aug_exp_volume,"2,283"
265,2013,Aug_exp_volume,"4,804"
266,2012,Aug_exp_volume,"3,574"
267,2011,Aug_exp_volume,"2,412"
268,2010,Aug_exp_volume,"6,979"
269,2009,Aug_exp_volume,323
270,2018,Sep_exp_volume,387
271,2017,Sep_exp_volume,144
272,2016,Sep_exp_volume,545
273,2015,Sep_exp_volume,567
274,2014,Sep_exp_volume,882
275,2013,Sep_exp_volume,"3,091"
276,2012,Sep_exp_volume,"2,258"
277,2011,Sep_exp_volume,871
278,2010,Sep_exp_volume,"5,268"
279,2009,Sep_exp_volume,511
280,2018,Q3_exp_volume,"3,798"
281,2017,Q3_exp_volume,"2,777"
282,2016,Q3_exp_volume,"3,963"
283,2015,Q3_exp_volume,"4,147"
284,2014,Q3_exp_volume,"6,247"
285,2013,Q3_exp_volume,"13,739"
286,2012,Q3_exp_volume,"11,125"
287,2011,Q3_exp_volume,"7,630"
288,2010,Q3_exp_volume,"20,157"
289,2009,Q3_exp_volume,"1,593"
290,2018,Oct_exp_volume,298
291,2017,Oct_exp_volume,232
292,2016,Oct_exp_volume,228
293,2015,Oct_exp_volume,396
294,2014,Oct_exp_volume,511
295,2013,Oct_exp_volume,"1,180"
296,2012,Oct_exp_volume,819
297,2011,Oct_exp_volume,813
298,2010,Oct_exp_volume,"4,211"
299,2009,Oct_exp_volume,467
300,2018,Nov_exp_volume,237
301,2017,Nov_exp_volume,365
302,2016,Nov_exp_volume,332
303,2015,Nov_exp_volume,355
304,2014,Nov_exp_volume,362
305,2013,Nov_exp_volume,468
306,2012,Nov_exp_volume,549
307,2011,Nov_exp_volume,688
308,2010,Nov_exp_volume,"2,206"
309,2009,Nov_exp_volume,436
310,2018,Dec_exp_volume,308
311,2017,Dec_exp_volume,317
312,2016,Dec_exp_volume,445
313,2015,Dec_exp_volume,375
314,2014,Dec_exp_volume,409
315,2013,Dec_exp_volume,444
316,2012,Dec_exp_volume,442
317,2011,Dec_exp_volume,600
318,2010,Dec_exp_volume,857
319,2009,Dec_exp_volume,333
320,2018,Q4_volume,843
321,2017,Q4_volume,914
322,2016,Q4_volume,"1,005"
323,2015,Q4_volume,"1,126"
324,2014,Q4_volume,"1,283"
325,2013,Q4_volume,"2,093"
326,2012,Q4_volume,"1,810"
327,2011,Q4_volume,"2,101"
328,2010,Q4_volume,"7,274"
329,2009,Q4_volume,"1,236"
330,2018,Total_exp_volume,"37,354"
331,2017,Total_exp_volume,"16,724"
332,2016,Total_exp_volume,"28,024"
333,2015,Total_exp_volume,"18,404"
334,2014,Total_exp_volume,"25,297"
335,2013,Total_exp_volume,"49,358"
336,2012,Total_exp_volume,"30,384"
337,2011,Total_exp_volume,"16,185"
338,2010,Total_exp_volume,"40,801"
339,2009,Total_exp_volume,"5,412"
340,2018,Jan_exp_unitvalue,1.53
341,2017,Jan_exp_unitvalue,1.67
342,2016,Jan_exp_unitvalue,1.39
343,2015,Jan_exp_unitvalue,1.24
344,2014,Jan_exp_unitvalue,1.35
345,2013,Jan_exp_unitvalue,1.12
346,2012,Jan_exp_unitvalue,0.99
347,2011,Jan_exp_unitvalue,1.17
348,2010,Jan_exp_unitvalue,1.01
349,2009,Jan_exp_unitvalue,1.03
350,2018,Feb_exp_unitvalue,1.41
351,2017,Feb_exp_unitvalue,1.53
352,2016,Feb_exp_unitvalue,1.49
353,2015,Feb_exp_unitvalue,1.59
354,2014,Feb_exp_unitvalue,1.64
355,2013,Feb_exp_unitvalue,1.13
356,2012,Feb_exp_unitvalue,1.25
357,2011,Feb_exp_unitvalue,1.29
358,2010,Feb_exp_unitvalue,0.98
359,2009,Feb_exp_unitvalue,0.91
360,2018,Mar_exp_unitvalue,1.43
361,2017,Mar_exp_unitvalue,1.73
362,2016,Mar_exp_unitvalue,1.17
363,2015,Mar_exp_unitvalue,1.67
364,2014,Mar_exp_unitvalue,1.55
365,2013,Mar_exp_unitvalue,1.05
366,2012,Mar_exp_unitvalue,1.42
367,2011,Mar_exp_unitvalue,1.63
368,2010,Mar_exp_unitvalue,0.80
369,2009,Mar_exp_unitvalue,0.96
370,2018,Q1_exp_unitvalue,1.44
371,2017,Q1_exp_unitvalue,1.66
372,2016,Q1_exp_unitvalue,1.27
373,2015,Q1_exp_unitvalue,1.58
374,2014,Q1_exp_unitvalue,1.55
375,2013,Q1_exp_unitvalue,1.07
376,2012,Q1_exp_unitvalue,1.30
377,2011,Q1_exp_unitvalue,1.39
378,2010,Q1_exp_unitvalue,0.87
379,2009,Q1_exp_unitvalue,0.97
380,2018,Apr_exp_unitvalue,1.44
381,2017,Apr_exp_unitvalue,1.64
382,2016,Apr_exp_unitvalue,1.06
383,2015,Apr_exp_unitvalue,1.60
384,2014,Apr_exp_unitvalue,1.51
385,2013,Apr_exp_unitvalue,1.06
386,2012,Apr_exp_unitvalue,1.37
387,2011,Apr_exp_unitvalue,1.95
388,2010,Apr_exp_unitvalue,0.79
389,2009,Apr_exp_unitvalue,0.78
390,2018,May_exp_unitvalue,1.43
391,2017,May_exp_unitvalue,1.66
392,2016,May_exp_unitvalue,1.05
393,2015,May_exp_unitvalue,1.40
394,2014,May_exp_unitvalue,1.46
395,2013,May_exp_unitvalue,1.10
396,2012,May_exp_unitvalue,1.35
397,2011,May_exp_unitvalue,1.73
398,2010,May_exp_unitvalue,0.94
399,2009,May_exp_unitvalue,0.80
400,2018,Jun_exp_unitvalue,1.36
401,2017,Jun_exp_unitvalue,1.73
402,2016,Jun_exp_unitvalue,1.19
403,2015,Jun_exp_unitvalue,1.54
404,2014,Jun_exp_unitvalue,1.60
405,2013,Jun_exp_unitvalue,1.05
406,2012,Jun_exp_unitvalue,1.34
407,2011,Jun_exp_unitvalue,1.65
408,2010,Jun_exp_unitvalue,0.85
409,2009,Jun_exp_unitvalue,0.93
410,2018,Q2_exp_unitvalue,1.42
411,2017,Q2_exp_unitvalue,1.67
412,2016,Q2_exp_unitvalue,1.10
413,2015,Q2_exp_unitvalue,1.50
414,2014,Q2_exp_unitvalue,1.52
415,2013,Q2_exp_unitvalue,1.07
416,2012,Q2_exp_unitvalue,1.35
417,2011,Q2_exp_unitvalue,1.70
418,2010,Q2_exp_unitvalue,0.87
419,2009,Q2_exp_unitvalue,0.83
420,2018,Jul_exp_unitvalue,1.43
421,2017,Jul_exp_unitvalue,1.73
422,2016,Jul_exp_unitvalue,1.53
423,2015,Jul_exp_unitvalue,1.58
424,2014,Jul_exp_unitvalue,1.71
425,2013,Jul_exp_unitvalue,1.33
426,2012,Jul_exp_unitvalue,1.25
427,2011,Jul_exp_unitvalue,1.52
428,2010,Jul_exp_unitvalue,0.77
429,2009,Jul_exp_unitvalue,0.74
430,2018,Aug_exp_unitvalue,1.71
431,2017,Aug_exp_unitvalue,2.02
432,2016,Aug_exp_unitvalue,1.56
433,2015,Aug_exp_unitvalue,1.57
434,2014,Aug_exp_unitvalue,1.69
435,2013,Aug_exp_unitvalue,1.40
436,2012,Aug_exp_unitvalue,1.29
437,2011,Aug_exp_unitvalue,1.90
438,2010,Aug_exp_unitvalue,0.70
439,2009,Aug_exp_unitvalue,0.93
440,2018,Sep_exp_unitvalue,1.96
441,2017,Sep_exp_unitvalue,2.68
442,2016,Sep_exp_unitvalue,1.72
443,2015,Sep_exp_unitvalue,1.21
444,2014,Sep_exp_unitvalue,1.37
445,2013,Sep_exp_unitvalue,1.58
446,2012,Sep_exp_unitvalue,1.22
447,2011,Sep_exp_unitvalue,1.49
448,2010,Sep_exp_unitvalue,0.70
449,2009,Sep_exp_unitvalue,0.76
450,2018,Q3_exp_unitvalue,1.59
451,2017,Q3_exp_unitvalue,1.88
452,2016,Q3_exp_unitvalue,1.57
453,2015,Q3_exp_unitvalue,1.53
