,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. imports unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Quarter 1,,,,Quarter 2,,,,,,Quarter 3,,,,Quarter 4,,,,
Fresh¹,,Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg
,,2018,0.97,0.99,1.02,0.99,1.13,1.04,,,1.01,1.06,1.06,1.32,1.07,1.16,0.92,1.01,0.78,0.90,1.03
,,2017,0.97,1.15,1.31,1.13,1.44,1.47,,,1.34,1.41,1.29,1.83,2.04,1.73,1.25,1.00,1.13,1.13,1.33
,,2016,0.71,0.67,0.66,0.68,0.67,1.02,,,1.17,0.90,1.32,1.25,1.56,1.39,1.58,1.06,0.95,1.18,1.01
,,2015,0.90,0.90,0.96,0.92,0.99,0.94,,,0.90,0.94,0.96,0.82,0.78,0.85,0.72,0.75,0.69,0.72,0.85
,,2014,0.86,0.86,0.95,0.89,1.05,1.10,,,1.09,1.08,1.05,1.00,1.06,1.04,0.86,0.82,0.82,0.83,0.95
,,2013,0.63,0.62,0.81,0.68,0.91,0.93,,,1.06,0.96,1.04,1.12,1.16,1.11,0.98,0.82,0.79,0.86,0.86
,,2012,0.76,0.74,0.85,0.78,0.94,0.95,,,0.92,0.94,0.87,0.84,0.74,0.81,0.72,0.64,0.61,0.66,0.78
,,2011,0.85,0.91,1.22,0.97,1.30,1.33,,,1.50,1.36,1.57,1.21,1.01,1.15,0.77,0.75,0.71,0.74,1.00
,,2010,0.60,0.59,0.73,0.64,0.85,0.90,,,0.93,0.89,0.93,0.91,0.92,0.92,0.76,0.74,0.74,0.74,0.76
,,2009,0.68,0.68,0.77,0.71,0.94,0.99,,,1.10,1.00,1.04,0.79,0.69,0.80,0.63,0.55,0.55,0.58,0.75
Prepared or preserved ,,Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg
,,2018,1.61,1.60,1.56,1.59,1.69,1.66,,,1.63,1.66,1.69,1.73,1.68,1.70,1.63,1.66,1.66,1.65,1.65
,,2017,1.41,1.36,1.45,1.41,1.58,1.68,,,1.67,1.64,1.71,1.71,1.67,1.70,1.74,1.72,1.72,1.73,1.62
,,2016,1.43,1.33,1.39,1.38,1.46,1.47,,,1.55,1.49,1.54,1.56,1.56,1.55,1.53,1.55,1.58,1.56,1.49
,,2015,1.35,1.34,1.31,1.34,1.40,1.43,,,1.45,1.42,1.42,1.46,1.44,1.44,1.34,1.42,1.39,1.38,1.39
,,2014,1.29,1.29,1.22,1.27,1.27,1.42,,,1.44,1.38,1.45,1.44,1.32,1.40,1.33,1.29,1.29,1.31,1.34
,,2013,1.17,1.09,1.11,1.13,1.12,1.12,,,1.10,1.11,1.20,1.24,1.23,1.22,1.27,1.30,1.28,1.28,1.18
,,2012,1.16,1.16,1.19,1.17,1.26,1.36,,,1.44,1.36,1.39,1.39,1.36,1.38,1.31,1.19,1.18,1.23,1.28
,,2011,1.17,1.37,1.20,1.24,1.30,1.25,,,1.24,1.26,1.25,1.24,1.22,1.24,1.22,1.17,1.18,1.19,1.23
,,2010,0.89,0.93,0.92,0.92,1.01,1.15,,,1.18,1.12,1.17,1.17,1.13,1.16,1.17,1.17,1.11,1.15,1.09
,,2009,0.79,0.82,0.84,0.81,0.87,0.85,,,0.89,0.87,0.92,0.90,0.88,0.90,0.99,0.93,0.92,0.95,0.88
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Unit value calculated by dividing value by volume. Merchandise entering the United States for consumption.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
